РБЮ;КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
OCS Центральный офис;К0030112;СК Сервер;4095,99;123257,36;119161,37;4095,99;2,1092;27;0;756,1186;277;85;1133,7008
OCS Центральный офис;К0030160;Компания  ГАРАНТ;19,06;141,59;122,53;19,06;0,008;1;0;0;1;1;0
OCS Центральный офис;К0030212;ЭсТиДжи;252907,63;767254,32;514346,69;249496,14;9,356157;5;0;0;375;53;0
OCS Центральный офис;К0030247;ЮНИС Лабс Солюшинз;1580,65;13032,73;11452,08;1580,65;0,058787;3;0;89,5355;24;13;0
OCS Центральный офис;К0030352;Приус АйТи;287,78;18939,81;18652,03;287,78;0,514685;20;0;146,2455;61;28;0
OCS Центральный офис;К0030382;ИТэмс;926,43;23685,33;22758,9;926,43;0,519938;2;0;0;24;14;120,1852
OCS Центральный офис;К0030489;ПАССАТ;2859,75;57116,55;54256,8;10899,1;3,410558;14;0;267,52;159;66;400,7732
OCS Центральный офис;К0030490;НПО Пром-ПК;5,44;69,17;63,73;5,44;0,000156;1;0;0;1;1;2,7668
OCS Центральный офис;К0030492;СТИГИТ;165,75;907,86;742,11;165,75;0,037756;2;0;0;3;2;0
OCS Центральный офис;К0030579;Ай Ти Бизнес Интеграция;-39,18;13199,19;13238,37;-39,18;1,79182;8;0;749,009;151;11;13,52
OCS Центральный офис;К0030586;Нордкопи;511,91;3791,09;3279,18;511,91;0,150883;30;0;2,6802;119;67;0
OCS Центральный офис;К0030587;АйТи Сервис;23,25;602,25;579;23,25;0,02508;1;0;0;1;1;0
OCS Центральный офис;К0030644;Альтербит;4789,39;53784,05;48994,66;4789,39;2,50694;81;0;135,3236;529;124;874,3052
OCS Центральный офис;К0030722;КСБ;4,42;1673,03;1668,61;4,42;0,009395;2;0;0;21;2;66
OCS Центральный офис;К0030788;Интегратор ИТ;-34,04;1805,3;1839,34;-34,04;1,246945;1;0;0;8;8;0
OCS Центральный офис;К0030828;Шанс;10249,96;97291,97;87042,01;11189,07;70,601033;5;0;616,3989;1695;187;0
OCS Центральный офис;К0030857;ТиЭсСи Сервис;61,03;578,64;517,61;61,03;0,262391;5;0;0;10;8;0
OCS Центральный офис;К0030915;Навикон;407,59;931,84;524,25;407,59;0,007637;5;0;0;20;6;25,5432
OCS Центральный офис;К0030933;Лана Девелопмент;444,78;6018,63;5573,85;444,78;0,601472;8;0;45,9646;45;27;11,676
OCS Центральный офис;К0030949;Элес;327,21;6920,55;6593,34;327,21;0,071478;1;0;1195,311;1;1;276,822
OCS Центральный офис;К0030977;Вайлит;91,4;692,4;601;91,4;0,001376;2;0;0;0;2;0
OCS Центральный офис;К0030990;Макарун;-4430,92;-18040,39;-13609,47;-4430,92;-0,468675;1;0;0;-13;3;0
OCS Центральный офис;К0031097;СКТ ПРОЕКТЫ;594,06;3000;2405,94;594,06;0,0144;1;0;0;50;1;120
OCS Центральный офис;К0031133;КвадроЛайн;1645,85;31108,82;29462,97;1645,85;0,100588;3;0;0;1805;8;59,6
OCS Центральный офис;К0031247;АСП;203,92;528,12;324,2;203,92;0,015515;2;0;0;4;3;0
