КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
К0025895;"ООО ""Полиграфика"" (г. Тюмень)";1721,32;18772,83;17051,51;1721,32;1,343722;16;147,388;0;761;62;418,0496
К0025907;ПРП;10,93;174,58;163,65;10,93;0,00006;1;0;0;1;1;0
К0025947;"ООО ""Ланпро""";29,69;1148,64;1118,95;29,69;0,005875;3;2,825;0;7;6;45,9456
К0025952;ГрандТелеком (г. Тюмень);1844,34;13131,4;11287,06;1844,34;2,088819;33;148,6332;187,42;860;64;253,4778
К0025991;Медиа Мир;445,27;5835,85;5390,58;514,75;0,799525;9;16,5483;0;100;50;46,704
К0025997;ПТП (г. Тюмень);883,34;6217,74;5334,4;883,34;2,828313;8;13,981;0;61;26;0
К0026039;Гранд-С (г.Лангепас);175,37;1133,14;957,77;175,37;0,141232;2;0;0;20;11;29,6212
К0026060;"ООО ""Элист""";280,49;3192,3;2911,81;280,49;0,204472;4;82,17;0;15;9;21,516
К0026087;Уралмикро (г.Тюмень);-36,83;1248,42;1285,25;-36,83;0,301159;3;151,48;151,48;20;4;11,1584
К0026296;УралПартсГруп;137,59;1034,73;897,14;137,59;0,414338;3;0;0;17;12;0
К0026403;Меткомтрейд;720,42;7454,5;6734,08;720,42;0,677105;20;104,3831;0;128;62;136,2892
К0026483;АльфаМега;138,63;7920,08;7781,45;138,63;0,56532;16;319,2785;0;54;35;205,7504
К0026523;ИП Дьячкова Е.А.;-21,71;528,81;550,52;-21,71;0,006517;2;17,25;0;5;5;21,1524
К0026610;Энерголюкс;805,74;2701,33;1895,59;805,74;0,133908;15;0;0;276;50;0
К0026745;ИТ-Групп;989,7;3520,71;2531,01;989,7;0,202071;3;0;0;6;3;4,6
К0026758;"ООО ""МО ""Отдел медицинской техники""";417,19;2204;1786,81;417,19;0,218627;2;0;0;2;2;88,16
К0027055;Камтуми (г. Урай);99,49;304,05;204,56;99,49;0,0768;1;0;0;96;1;0
К0027071;Антипина Е.Н.;117,03;963,7;846,67;117,03;0,224391;1;0;0;17;7;38,548
К0027121;Бизнес Логистика;1,82;34;32,18;1,82;0,0051;1;0;0;2;1;1,36
К0027147;Энергосберегающие технологии;343,55;1570,07;1226,52;343,55;0,178549;4;16,43;16,43;109;10;27,544
К0027214;"ООО ""КК МЕГА"" (г. Тюмень)";28,02;2935,29;2907,27;28,02;0,362411;5;0;0;23;8;61,51
К0027216;ООО«АйТи Сорс»;28,96;2224,05;2195,09;28,96;0,148943;7;77,1675;0;107;23;86,0944
К0027329;ТД Центр логистики (г. Нижневартовск);20,41;620,48;600,07;20,41;0,020116;3;1,6169;0;5;3;1,002
К0027445;Дельта-Паритет;474,04;4852,93;4378,89;474,04;0,645663;11;351,454;358,44;104;16;60,4984
К0027449;ЭТМ;129,4;2608;2478,6;129,4;0,006;1;0;0;16;1;104,32
К0027559;Цитрус;354,93;6093,79;5738,86;354,93;0,362313;16;279,5744;0;214;38;174,2456
К0027580;ПРАЙТ;5,3;41,05;35,75;5,3;0,006311;1;0;0;2;2;1,43
К0027592;Адмирал;1286,98;25302,45;24015,47;1288,32;0,790737;14;6,53;0;509;51;815,0828
К0027614;РИН-СЕРВИС;102,06;483,61;381,55;102,06;0,007318;4;5,87;0;11;5;19,3444
К0027629;ИП Марковский Ростислав Петрович;24,22;545,06;520,84;24,22;0,018624;6;0;0;8;7;11,4785
К0027671;Ю-Принт, ООО;944,79;31083,75;30138,96;944,79;2,663363;30;412,2095;3663,87;508;177;734,614
К0027794;Перспектива-Авто;86,83;741,95;655,12;86,83;0,079632;2;0;0;4;2;0
К0027857;Иж-Зубова С.В.;53,8;512,86;459,06;53,8;0,099678;1;0;0;7;7;8,74
К0027871;ИП Семенютин Владимир Валерьевич;5,78;5228,57;5222,79;5,78;0,990576;24;134,645;22,32;83;53;88,32
К0027917;Чел-Статус;928,2;3907,19;2978,99;928,2;0,197638;5;35,65;0;29;8;141,4876
К0028005;Новиков Э.В.;107,19;666,5;559,31;107,19;0,090039;1;0;0;5;2;0
К0028053;АСМ-ресурс;103,63;4931,21;4827,58;103,63;0,232874;2;407,88;397,75;10;6;0
К0028121;ТРОН-ВТМ;6181,74;31437,39;25255,65;6181,74;1,620452;7;111,29;0;124;47;103,552
К0028209;МКТ Принт (г. Тюмень);157,32;527,26;369,94;157,32;0,160869;4;0;0;5;4;0
К0028235;Ультра-Тэк (г. Сургут);34,08;1183,28;1149,2;34,08;0,05797;2;15,87;0;12;7;14,391
К0028375;Визард;74,93;217,1;142,17;74,93;0,00748;1;0;0;1;1;0
