КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
К0072402;"ООО ""Авангард""";-6,26;270;276,26;-6,26;0,07758;1;0;0;6;2;10,8
К0072408;ООО «Строительная компания «МиР»;5269,9;13689,56;8419,66;5269,9;1,850763;16;0;0;1923;151;364,5776
К0072410;ООО«Частные решения»;1317,81;10504,28;9186,47;1317,81;0,993757;20;65,5525;44,13;57;49;119,0852
К0072477;ООО «Энергетические ресурсы»;28,24;1823,75;1795,51;28,24;0,168895;1;0;0;341;4;0
К0073263;"ООО ""Западная сибирская торговая оптовая компания""";19,6;216,3;196,7;19,6;0,013464;1;0;0;2;1;8,652
К0073326;"ООО ""Меридиан""";200,67;529,94;329,27;200,67;0,604125;1;0;0;1;1;0
К0073354;ИП Авдеева Ольга Викторовна;565,49;12740;12174,51;565,49;0,154905;1;0;0;1;1;0
К0073554;ООО «Баумолл»;562,37;1939,23;1376,86;562,37;0,596929;2;0;0;121;21;0
К0073669;ООО «СтарДирект»;-23,15;143;166,15;-23,15;0,00045;1;18,86;0;1;1;5,72
К0073894;ООО«КУРСОР»;-28,93;8458,57;8487,5;-28,93;1,924266;18;602,6861;0;103;39;135,2564
К0073918;ООО«КомТорг»;-5,77;196;201,77;-5,77;0,0018;1;0;0;4;1;7,84
К0073960;ИП Рученин Евгений Юрьевич;55,65;5010,04;4954,39;55,65;0,691617;5;195,8517;0;37;17;42,6704
К0074004;ООО «Поставка решений»;1205,31;16357,67;15152,36;1205,31;0,645018;32;79,0386;0;194;94;547,8296
К0074031;ЗАО «Пермский центр по АСУ»  Филиал по разработке и внедрению АС ОДУ;317,81;2491,07;2173,26;317,81;0,947801;4;0;0;280;17;63,4756
К0074051;Софт Апдейт (г.Надым);2115,78;19504,56;17388,78;2115,78;3,073371;3;0;0;79;9;262,392
К0074068;ООО «Компис»;82,54;1142,99;1060,45;82,54;0,037239;1;8,1826;0;52;45;45,7196
К0074180;Бизнес Техника;9277,43;130334,31;121056,88;9421,44;4,382153;23;1422,1842;0;105;47;39,744
К0074303;"ООО ""РЗА-Сервис""";4482,14;15001,58;10519,44;4482,14;0,340997;2;0;0;46;9;600,0632
К0074366;ООО «Кристалл-КТ»;255,72;3249,01;2993,29;255,72;0,334825;23;102,502;0;62;37;86,0392
К0074384;"ООО ""ЛОТОС""(г.Тюмень)";1132,3;18248,56;17116,26;1132,3;2,268326;1;0;0;2;1;729,9424
К0074388;ООО «Артекс»;602,89;2599,74;1996,85;602,89;0,176412;1;0;0;24;4;0
К0074404;ООО «МастерСервис»;-4,97;338,8;343,77;-4,97;0,003259;5;0,3;0;11;7;13,552
К0074518;ООО«РегионПроект»;0,05;178;177,95;0,05;0,004784;1;0;0;1;1;7,12
К0074539;"ООО ""МЭК"" (г.Тюмень)";-2365,35;516,61;2881,96;-2365,35;0,165004;2;2105,203;2553,18;242;77;20,6644
К0074571;ООО «Юнит-Партнёр»;1071,49;5248,13;4176,64;1071,49;1,089217;4;0;0;60;14;0
К0074610;"Салон ""Премиум""";2766,42;17613,94;14847,52;2766,42;14,523319;3;0;0;18;16;0
К0074634;ООО «Техно ВК»;56,85;155,94;99,09;56,85;0,053312;1;0;0;1;1;0
К0074680;ООО «Альфа ТЭК»;21,02;180,87;159,85;21,02;0,08064;1;0;0;2;1;0
К0074751;ООО «Аваллон Трейд»;428,6;3667,26;3238,66;428,6;0,348156;1;0;0;3;3;0
К0074808;ИП Кирбин Андрей Юрьевич;167,37;1463,65;1296,28;167,37;0,005523;2;0;0;130;4;0
К0074815;ИП Синяков Сергей Александрович;177,8;1519,31;1341,51;177,8;0,049196;4;31,17;0;17;5;47,146
К0074844;ООО «Группа Компаний Системы Охраны Магазинов»;9,73;2817,07;2807,34;9,73;0,260022;3;51,91;60,91;25;18;100,2556
К0074853;ООО «СКАН-ТЭСТ»;2801,59;16606,74;13805,15;2801,59;1,304761;2;0;0;14;4;0
К0074932;ООО«Логистрим»;186,46;2272,35;2085,89;186,46;0,223536;7;153,3036;0;33;14;20,594
К0075024;ИП Антипкин Алексей Александрович;174,72;1837;1662,28;174,72;0,002049;1;0;0;9;3;73,48
К0075030;"ООО ""ПСЛ""";545,57;5906,13;5360,56;545,57;0,9475;20;5,69;199,54;192;54;55,4568
К0075044;АйТи-Снабжение (г. Нижневартовск);40,63;1186,95;1146,32;40,63;0,174569;2;0;0;9;5;0
К0075105;ООО «ИНТЕКС ГРУПП»;242,87;3279,79;3036,92;242,87;0,112486;6;0;0;25;16;0
К0075123;ООО«Терра»;22,18;103,63;81,45;22,18;0,00857;2;0;0;5;2;2,304
К0075125;ОАО   «Нью Граунд»;212,33;3920,24;3707,91;212,33;0,382934;2;2,5598;0;7;5;0
К0075129;ИП Яркеев Евгений Викторович;2,88;58;55,12;2,88;0,000091;1;0;0;2;1;2,32
К0075178;ИП Буйволенко Сергей Сергеевич;106,38;1509,38;1403;106,38;0,286679;2;0;0;10;3;0
К0075315;ООО «НПП Би-ТЭК»;605,93;1903,94;1298,01;605,93;0,109632;1;0;0;4;2;0
К0075371;ООО «Легос-Урал»;563,42;4566;4002,58;563,42;1,283219;2;1,85;43,04;989;20;96,3076
К0075428;"ООО ""ИТС-Трейд""";133,16;960,86;827,7;133,16;0,156878;3;0;0;24;4;36,188
К0075430;ИП Кардапольцева Мария Валентиновна;47,27;358,58;311,31;47,27;0,1539;1;0;0;6;1;0
К0075533;ООО «Проект Шедевры»;692,19;2038,54;1346,35;692,19;0,523776;1;0;0;1;1;0
К0075586;ООО «ИТС-Системы»;698,9;12333,93;11635,03;698,9;1,436044;1;86,2396;0;10;10;0
К0075594;ИП Сабынин Андрей Анатольевич;263,01;2186,07;1923,06;263,01;1,589305;1;0;0;9;9;0
К0075631;ИП Драчева Валентина Николаевна;179,49;1570,88;1391,39;179,49;0,779858;2;0;0;3;3;0
К0075696;ООО«Промэнерго»;206,15;763,6;557,45;206,15;0,025539;4;0;0;247;13;0
К0075803;ООО «ТиО»;23,58;1110,59;1087,01;23,58;1,500631;1;0;0;4;1;0
К0076008;КАТРАН (г. Курган);271,22;4127,92;3856,7;271,22;0,350872;2;3,03;0;37;7;0
К0076012;ООО «РеСтори»;-15,34;461,32;476,66;-15,34;0,095801;3;23,4505;40,09;10;12;18,4528
К0076075;ООО «Клосс Компьютер»;-173,77;1771,6;1945,37;-173,77;0,204341;6;9,0883;47,44;21;9;20,04
К0076091;ООО«Францком»;2134,88;17005,98;14871,1;2134,88;2,519158;2;0;0;3284;10;0
К0076100;ИП Куренков В.А.;61,58;234,46;172,88;61,58;0,137744;1;0;0;61;4;0
К0076168;ООО «АС «КЛИМАТ КОНТРОЛЬ»;-13469,28;41042,25;54511,53;-13469,28;7,387719;3;0;0;134;17;1055,994
К0076190;АБИС-ТРЕЙД (г. Сургут);-298,31;3795,06;4093,37;-298,31;0,214785;6;2514,09;0;23;13;42,772
К0076216;"ООО ""Торговый Дом Эксперт-М"" (г. Москва)";841,41;7451,81;6610,4;841,41;1,511784;2;244,0615;0;154;68;97,6908
К0076376;ООО «МетУниверсал»;-435,98;2514,08;2950,06;-435,98;0,556305;1;0;0;4;1;0
К0076490;"ООО ""Лебедев""";-197,28;3044,1;3241,38;-197,28;0,292278;11;86,198;24,25;55;33;63,9676
К0076510;"ООО ""Семиречье клининг""";339,44;3941,58;3602,14;339,44;0,673155;1;0;0;28;12;0
К0076706;ООО «ПРОкабель»;-724,15;3287,27;4011,42;-724,15;0,615449;2;1228,19;3507,68;4;4;37,4908
К0076721;ООО «Акрист»;51,27;545,08;493,81;51,27;0,692325;1;0;0;2;2;0
К0076887;"ООО ""ТРЕНД""";-28,37;1371,74;1400,11;-28,37;0,8911;1;0;0;1;1;0
К0077106;ИП Хрущелев Алексей Леонидович;16,7;138;121,3;16,7;0,068068;1;0;0;2;1;5,52
К0077156;ООО «Вертикаль»;1195,4;5207,27;4011,87;1195,4;0,916965;2;0;0;920;31;63,1776
К0077159;ООО «АВ-Трейд»;-12,43;438,88;451,31;-12,43;0,007436;1;0;0;49;3;11,2056
